trade_date,symbol,industry,close,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,bollinger_upper,bollinger_middle,bollinger_lower,rsi_14,return_20d,volatility_20d,score,recommendation,return_6m_ex_1m,return_11m_ex_1m,volatility_60d,atr_14_pct,distance_52w_high_pct,trend_score,momentum_score,industry_relative_score,volatility_score,confirmation_score,industry_rank_pct,peer_rank_pct,universe_momentum_rank_pct,risk_adjusted_momentum_rank_pct,updated_at
2026-04-30,ACUTAAS,Healthcare,2594.1,2366.26,2278.976,1746.9885000000002,2443.16103118664,2374.6001532445607,68.56087794207906,55.01365297716792,2584.977779220992,2366.26,2147.542220779009,70.14814814814818,1.3874775267724626,3.959323382327845,97.28,BUY,51.1911126953009,113.65010073875084,3.483827988539192,4.059486637259275,-4.276752767527681,30.0,29.936290322580643,19.5,14.84375,3.0,95.0,100.0,99.79166666666669,98.95833333333334,2026-04-30 14:35:44
2026-04-30,GVT&D,Capital Goods,4466.2,4150.14,3885.158,3152.2665,4347.100236582052,4135.724936421662,211.37530016039,183.8863478443833,4757.425655147046,4150.14,3542.854344852955,78.74831623665932,22.684320404351155,2.3419633650238763,95.73,BUY,28.948093074487137,80.6616512345679,2.6591568412515683,3.658751127516521,-4.853003834682578,30.0,29.556451612903224,18.3,14.875,3.0,85.0,98.0,98.95833333333334,99.16666666666669,2026-04-30 14:35:44
2026-04-30,MCX,Financial Services,2971.5,2747.49,2573.91,2059.2865,2836.1076936606983,2729.17366094834,106.93403271235866,92.84551152410042,3063.7040973587505,2747.49,2431.27590264125,79.12801484230056,24.361764459697,1.8149377248071572,95.61,BUY,33.18154051202309,85.70543596097255,2.935625352523098,2.8136342876373184,-0.4555961274329112,30.0,29.670161290322586,18.0,14.937499999999998,3.0,80.0,100.0,99.16666666666669,99.58333333333331,2026-04-30 14:35:44
2026-04-30,HINDCOPPER,Metals & Mining,534.85,537.4275,533.688,407.0212,545.5665167603677,537.2370048921578,8.32951186820992,7.478589484219286,584.2277190165752,537.4275,490.6272809834248,54.68458379992536,17.9382579933848,2.8855018748703496,95.51,BUY,43.821043427572114,102.35800697149888,3.638377896386882,3.40482645334473,-29.629629629629616,26.0,29.82258064516129,19.77777777777778,14.90625,5.0,100.0,97.77777777777776,99.375,99.375,2026-04-30 14:35:44
2026-04-30,GLENMARK,Healthcare,2406.3,2237.77,2164.726,2030.5875,2313.3983258094904,2245.7788949210226,67.61943088846783,49.58758141604068,2441.931320116188,2237.77,2033.608679883812,80.36354326676904,12.881737580334974,1.591953574534262,95.47,BUY,19.336925445348573,56.13984605424072,2.036405207117052,2.7659536573637102,-2.7364591754244105,30.0,28.92419354838709,18.76020408163265,14.78125,3.0,95.0,92.60204081632654,97.91666666666666,98.54166666666669,2026-04-30 14:35:44
2026-04-30,KIRLOSENG,Capital Goods,1698.2,1561.3449999999998,1471.7020000000002,1140.581,1634.0019610406157,1557.0568267969447,76.94513424367074,66.34472253365387,1796.4878992179522,1561.3449999999998,1326.2021007820474,77.48798901853121,27.7899014222289,2.510096847574435,95.43,BUY,49.82764372289561,55.27513684817056,2.5793145747827837,4.0656493430018354,-2.732115241422761,30.0,29.446774193548386,18.29310344827586,14.687499999999998,3.0,85.0,97.93103448275862,98.75,97.91666666666666,2026-04-30 14:35:44
2026-04-30,BHARATFORG,Automobile and Auto Components,1881.6,1815.115,1798.188,1438.2025,1865.1171559768115,1822.3640009103583,42.75315506645302,37.51675737982579,1994.5590452297797,1815.115,1635.67095477022,73.57427055702917,12.36116087423862,2.0239705468204106,95.28,BUY,34.36404704416229,38.04112987116908,2.5416704111271224,2.8262421039844514,-3.5027437304477216,30.0,28.920967741935485,18.823529411764707,14.53125,3.0,90.0,98.23529411764706,97.08333333333331,96.875,2026-04-30 14:35:44
2026-04-30,JBCHEPHARM,Healthcare,2043.4,1996.465,2036.472,1827.551,2022.64497366638,2019.1550827646656,3.489890901714034,-4.966894454376002,2062.7678863386886,1996.465,1930.162113661311,65.73516766981943,-1.0172447200154977,1.2851299972917891,95.22,BUY,20.82598989542943,20.84018801410106,1.376107281529431,2.064835917728156,-6.906605922551245,30.0,27.373387096774195,18.34183673469388,14.5,5.0,95.0,88.41836734693878,91.875,96.66666666666669,2026-04-30 14:35:44
2026-04-30,POWERINDIA,Capital Goods,33550.0,29056.25,26354.3,21082.705,31080.74592776283,28942.65939943711,2138.086528325719,1766.286111427226,34766.57294690029,29056.25,23345.92705309971,94.12597310686482,38.43614606973384,1.8618742220717208,95.15,BUY,47.22371324625754,51.08023746863333,2.8686589962714413,2.942303598041303,-0.7249593135079113,30.0,29.30564516129032,18.122988505747127,14.71875,3.0,85.0,96.22988505747126,98.54166666666669,98.125,2026-04-30 14:35:44
2026-04-30,LAURUSLABS,Healthcare,1100.95,1096.74,1049.625,969.728,1103.1956876642994,1082.724695495842,20.470992168457315,23.60630047120011,1155.2568315867195,1096.74,1038.2231684132803,53.82907880133186,10.90460360632619,1.818737474046664,94.39,BUY,8.894645941278068,69.5319721031846,2.248866487778393,2.7054556778885783,-3.834563479931852,30.0,28.24274193548387,18.39540816326531,14.749999999999998,3.0,95.0,88.95408163265306,98.125,98.33333333333331,2026-04-30 14:35:44
